"FAILURECODE","DESCRIPTION"
"SERVIDUM","SERVIDUMBRE"
"INTERVAC","INTERRUPTOR CON MEDIO DE EXTINCION EN VACIO"
"ENLA.SATEL","ENLACE SATELITAL"
"CONVER.DC","CONVERSOR DE AC/DC"
"TANQUE SUMID","TANQUE SUMIDERO"
"MED.TURB","MEDIDOR DE TURBINA"
"EDCALENTAD","DESCOMPRESORA CALENTADOR"
"BLO_DAWN","BLOW DOWN"
"MOTOR","MOTOR"
"AGITADOR","AGITADOR"
"HERRAJES","HERRAJES"
"ESTACTRABAJO","ESTACION DE TRABAJO"
"MULTIPLEXOR","MULTIPLEXOR"
"IHM","INTERFASE HOMBRE MAQUINA"
"TUBHF","TUBERIA HIERRO FUNDIDO"
"EDMEDIMPCA","DESCOMPRESORA MEDIO DE IMPULSION SIST. CALENTAMIEN"
"EDESTSOP","DESCOMPRESORA ESTRUCTURA SOPORTE"
"ROTAGEN","ROTATIVOS GENERICO"
"TUBSINTIP","TUBERIA SIN TIPIFICAR"
"ALIVCANUELEV","ALIVIADERO CANUELA ELEVADA"
"SUMIASENCILL","SUMIDERO TIPO A SENCILLO"
"EDTUBERIA","DESCOMPRESORA TUBERIA"
"EDMEDIDO","DESCOMPRESORA MEDIDOR DE GAS"
"TABLEDIST","TABLERO DISTRIBUCION SERVICIOS AUXILIARES CA Y CD"
"CORTOAL","CORTOCIRCUITO INTERNO DE LA LUMINARIA"
"INYECTOR","INYECTOR"
"COJINETE","COJINETE"
"CAMARAESPIRAL","CAMARA ESPIRAL TURBINA"
"RUIDO","RUIDO MOLESTO PARA LOS USUARIOS"
"MEDIDORPRESION","MEDIDOR DE PRESION"
"RADIADOR","RADIADOR"
"DRIVER","DRIVER DESCONECTADO O DEFECTUOSO"
"BANDALIS","MEDIDOR DETERIORADO POR BANDALISMO"
"VIDUTIL","FIN DE VIDA UTIL"
"FALTAPT","FALTA DE PUESTA A TIERRA"
"LUMINARIA","LUMINARIA"
"BAJALUZ","NIVEL POR DEBAJO DE LO ACEPTADO POR NORMA"
"ELEVADOR","ELEVADOR"
"CANASTA_ART","CANASTA ARTICULADA SOBRE CAMION"
"PICK_UP","CAMIONETA PICK UP"
"VIBROCOMPACT","VIBROCOMPACTADOR"
"TABLEROAC",""
"DOBLETIR","DOBLETIRO"
"CCM","CENTRO CONTROL MOTORES"
"TANQACUM","TANQUE ACUMULADOR"
"COJIN INFER","COJINETE GUIA INFERIOR"
"COMFILTR","COMPRESOR FILTRACIÓN"
"REGU ELECT","REGULADOR ELECTRONICO"
"TRAFOEXC","TRANSFORMADOR DE EXCITACIÓN"
"CORTACIRCUITODE","CORTACIRCUITO DISTRIBUCION"
"EDINTERC","DESCOMPRESORA INTERCAMBIADOR DE CALOR"
"TRAFO","TRANSFORMADOR"
"EDVALVULAS","DESCOMPRESORA VALVULAS"
"ESTATOR","ESTATOR GENERADOR"
"MANOMETR","MANOMETRO"
"CELDA","CELDA"
"TRAFOPTA","TRANSFORMADOR DE PUESTA A TIERRA"
"INTERAIR","INTERRUPTOR DE AIRE"
"OB_CIVIL","OBRA CIVIL"
"SURTIDOR","SURTIDOR"
"TORRES","TORRES"
"VALVBOLA","VALVULA DE BOLA_ESFERICA"
"SENSOR","SENSOR"
"EDINSTRF","DESCOMPRESORA INSTRUMENTACION FILTRO"
"GENERADOR","GENERADOR"
"INTERSF6M","INTERRUPTOR CON MEDIO DE EXTINCION SF6-MECANICO"
"SUMIBCOMPUES","SUMIDERO TIPO B COMPUESTO"
"TUBACERO","TUBERIA ACERO"
"TUBASCEM","TUBERIA DE ASBESTO CEMENTO"
"FUENTE DC","FUENTE DE CORRIENTE DIRECTA"
"TUBCCP","TUBERIA DE CCP"
"SELLO EJE","SELLO DE EJE"
"CHILLER","CHILLER"
"DRIVERAL","DRIVER DESCONECTADO O DEFECTUOSO"
"POSBOM","POSICION INADECUADA DE LA BOMBILLA"
"BOMDES","BOMBILLA DESGASTADA"
"NOAPG","BOMBILLA ENCENDIDA EN EL DIA"
"PTIERRA","PUESTA A TIERRA"
"MOTOCARRO","MOTOCARRO"
"BULLDOZER","BULLDOZER"
"MINICARGADOR","MINICARGADOR"
"ANALIZADOR","ANALIZADOR DE GASES (EN LÍNEA)"
"SREMOLQUE_BOTE","SEMIRREMOLQUE PARA BOTES"
"CUBIERTATURBINA","CUBIERTA TURBINA FRANCIS"
"TABLEROINVERSOR",""
"COMETAPA","COMPRESOR ETAPAS DE COMPRESIÓN"
"COMSISLU","COMPRESOR SUBSISTEMA DE LUBRICACIÓN"
"INTERACEI","INTERRUPTOR CON MEDIO DE EXTINCION EN ACEITE"
"RECTIFICAD","RECTIFICADOR"
"SOPORTE","SOPORTE"
"COJIN COMBI","COJINETE COMBINADO EMPUJE GUIA"
"DPS","DISPOSTIVO PROTECCION SOBRETENSIONES"
"COMSISEL","COMPRESOR SUBSISTEMA ELECTRICO"
"EDINSTRR","DESCOMPRESORA INSTRUMENTACION SISTEMA REGULACIÓN"
"CAJA","CAJA DE DISTRIBUCION"
"VALVAGUJ","VALVULA DE AGUJA"
"TRANSMIS","FALLA TRANSMISION"
"BORNERA","BORNERA"
"ACTUADOR","ACTUADOR DE LA VALVULA"
"RECONEC","RECONECTADOR"
"CALDERA","CALDERA"
"VALVSINTIP","VALVULA SIN TIPIFICAR"
"TUBPOLIET","TUBERIA DE POLIETILENO"
"ALIVORIFICIO","ALIVIADERO ORIFICIO"
"MECGEN","MECANICOS Y ESTACIONARIOS GENERICO"
"ALIVESPECIA","ALIVIADERO ESPECIAL"
"COMUGEN","COMUNICACIONES GENERICO"
"RED.SECP","RED SECUNDARIA PARRILLA"
