"FAILURECODE","DESCRIPTION"
"VAL.ALI.N.OP","VALVULA DE ALIVIO NO OPERA"
"BOMB.APAGADA","BOMBA IMPULSORA APAGADA"
"FUGA","FUGA"
"FALLACIERRE","NO CIERRA"
"CORROSION","CORROSION"
"NOTRANSFOR","NO TRANSFORMA TENSIONES Y/O CORRIENTES"
"TARJETAPPAL","TARJETA PRINCIPAL"
"FALLABOMBA","NO ARRANCA LA BOMBA PRINCIPAL"
"ELU","FUGA ACEITE"
"F.APE/CI","FALLA AL ABRIR O AL CERRAR"
"NOCIERRA","MANDO NO CIERRA"
"DISM.TEMP.SA","DISMINUCION TEMPERATURA DE SALIDA DEL GAS A CALENT"
"PRE.BAJA","PRESION BAJA"
"OBSTRUCC","OBSTRUCCION"
"CBL EXP","CABLES EXPUESTOS"
"VENTILADOR","VENTILADOR"
"CONFIGURACION","CONFIGURACION"
"MEMORIFLASH","MEMORIA FLASH"
"PERDIVISTA","PERDIDA DE LINEA DE VISTA"
"PUES.TIERRA","PUESTA A TIERRA"
"DRIVER_DNP3","DRIVER DE COMUNICACION DNP3"
"NOINUNDACION","NO EVITA QUE EL AGUA INUNDE EL RECINTO DE TURBINA"
"DANO.CONX","DAÑO EN CONEXIONES ELECTRICAS"
"FUGASELL","FUGA DE SELLO MECÁNICO"
"NOBLOQMANDO","NO  BLOQUEA MANDO POR BAJA PRESION"
"NO.SELLA","VALVULA NO SELLA"
"PERDIDASENAL","PERDIDA DE LA SENAL"
"IND.TRANP.ER","INDICACION TRANSMISOR DE PRESION ERRONEO"
"ESPESBAJO","ESPESOR MINIMO POR DEBAJO DE 25MM"
"NOVOLTACORRIE","NO ALCANZA VOLTAJE NI CORRIENTE NOMINAL"
"NO.AISL","NO HAY AISLAMIENTO"
"NOAUTOMATI","NO PERMITE OPERACIÓN EN AUTOMÁTICO"
"NOVELOCMAQUI","NO PROCESA VELOCIDAD DE LA MAQUINA"
"NOCALIENT","NO CALIENTA"
"PERDEFIC","PERDIDA DE EFICIENCIA"
"TIEMC105","TIEMPO DE CIERRE SUPERIOR A 105 mS"
"NOALMDERACE","NO ALMACENA DERRAMES DE ACEITE"
"ERR.DISP","ERROR EN DISPLAY"
"ALT.TECA","ALTA TEMPERATURA EN CARCASA EXTERNA"
"CONTDEFIC","CONTROL DEFICIENTE"
"NOINDITEMPERA","NO INDICA EL NIVEL DE TEMPERATURA DE ACEITE"
"NOREFRIGERA","NO REFRIGERA"
"FALLASISREFR","FALLA  SISTEMA DE REFRIGERACION DEL TRANSFORMADOR"
"NOBOMBEA","NO BOMBEA FLUIDO"
"IND.MAN.ERR","INDICACION ERRONEA MANOMETRO"
"DISM.ESP.PAR","DISMINUCION EN EL ESPESOR DE PARED"
"TIEMCIER60","TIEMPO DE CIERRE SUPERIOR A 60 mS"
"ALARMFALVENTIL","NO ALARMA EN CASO DE FALLA VENTILADORES"
"PRESHIDRBAJA","BAJA PRESION DE SISTEMA HIDRAULICO"
"ALTA.PRE.SAL","PRESIÓN SALIDA SUPERIOR A PRESION AJUSTE VAL. SLAM"
"OSBTRUCC","OBSTRUCCION"
"VERTIMIE","ELEMENTO VERTIENDO"
"NOALIVPRESI","NO PERMITE EL ALIVIO DE SOBRE PRESIÓN"
"TAPADA","CAMARA TAPADA"
"DANOTAPA","DANO EN TAPA DE CAMARA"
"BAVER","BUJE AVERIADO"
"DETEMPA","DETERIORO DE EMPAQUE"
"VALVDEF","VÁLVULA DEFECTUOSA"
"BAJALUZ","NIVEL POR DEBAJO DE LO ACEPTADO POR NORMA"
"FALTAPT","FALTA DE PUESTA A TIERRA"
"NO.COMUPROGR","NO SE COMUNICA CON PROGRAMADOR EXTERNO"
"RUIDO","RUIDO MOLESTO PARA LOS USUARIOS"
"ALTEMPEDEVAN","ALTA TEMPERATURA DEVANADO"
"FALLACONTR","FALLA  CONTROL"
"FUGA.AGUA","FUGA DE AGUA POR INTERCAMBIADOR"
"MOTOR_FALLA","MOTOR NO ENCIENDE"
"NO_AISLA_ELECT","PERDIDA DE AISLAMIENTO ELECTRICO"
"DANOSUMI","DAÑO EN SUMIDERO"
"SINREJA","SIN REJA"
"NO_SUCCION","EQUIPO NO SUCCIONA"
"FUGA.GAS","FUGA DE GAS"
"INC.PRESION","INCREMENTO DE PRESION POR ENCIMA DE VALOR AJUSTADO"
"NOMUEVETRAFO","NO SE PUEDE MOVER EL TRANSFORMADOR"
"HUMEGABICONT","HUMEDAD EN GABINETE DE CONTROL"
"NOENVSENDISP","NO ENVIA SENAL  DISPARO POR FALLA  TRANSFORMADOR"
"PIGTAIL","PIGTAIL"
"FUNCMOTOBOMB","NO INDICA TRABAJO DE MOTOBOMBAS"
"MED.CORR","NO HAY DRENAJE DE CORRIENTE"
"FALL.PT","FALLA DE PUESTA A TIERRA"
"RUI.EXC","RUIDO EXCESIVO"
"AISLADORFALL","AISLADOR DEFECTUOSO"
"DPAB","DEVANADO PRIMARIO ABIERTO"
"IDU","UNIDAD DE ACCESO INTERIOR"
"DISP.BLO","BLOQUEO DEL DISPOSITIVO"
"PANEL","PANEL"
"PRESIONBOMBA","BOMBAS NO LEVANTAN PRESION"
"TCALOTIRISTOR","NO TRANSFERENCIA DE CALOR EN PUENTES DE TIRISTORES"
"NOCIEALAB.RSD","NO CIERRA LOS ALABES CUANDO SE PRODUCE UN RSD"
"SALT.NUM","SALTOS EN LA NUMERACION"
"VIBRACIO","VIBRACION EXCESIVA"
"NOENSAYAUTO","NO ENSAYA AUTOMATICAMENTE"
"BAJA.PRES","BAJA PRESIÓN"
"ESTRUCT","DANO EN RECUBRIMIENTO, ABOLLADURA, DEFORMACION"
"VOLINTER","VOLTAJE INTERMITENTE"
"BRAZODESALID","BRAZOS DESALINEADOS"
"RES.NACC","RESPUESTA NO ACCIONADO"
"LADEADO","POSTE LADEADO"
"CALENT.APAG","CALENTADOR APAGADO"
"PERIFERICO","DISPOSITIVOS PERIFERICOS"
"ATASCADO","ATASCADO"
"SALERRATIC","SALIDA ERRATICA"
"CONCENT_BLOQ","CONCENTRADOR BLOQUEADO"
"BOMBATEMPACEI","LA BOMBA ARRANCA NO BAJA TEMPERATURA DEL ACEITE"
"DANOREGULTENS","NO PERMITE EL CONTROL DEL REGULADOR DE TENSION"
"VOLTATECHONEGA","VOLTAJE DE TECHO NEGATICO EN UN RECHAZO DE CARGA"
"NO OPERA","NO OPERA EL ELEMENTO"
"VALV.BLOQ","VALVULA BLOQUEADA"
"NOVAVOSARESC","NO VARIA VOLTAJE SALIDA TRAFO REGULADOR SIN CARGA"
"INSUF.NI.FLU","INSUFICIENTE NIVEL DE FLUIDO CALIENTE ALMACENADO"
"PRES.DIF","PRESION DIFERENCIAL SUPERIOR A 250 MILIBAR"
"CORROSIO","PRESENCIA DE CORROSION"
"INVASION","INVASION"
"NODISPATEMPE","NO DISPARO POR ALTA TEMPERATURA"
"CAJAACOPLE","CAJA DE ACOPLE"
"CONMUANUAFIL","NO PERMITE LA CONMUTACIÓN MANUAL DEL FILTRO"
"NO.GIRA","MOTOR NO GIRA"
"VRF","VIRTUAL ROUTE FORWARDING"
"TIEMCIER70","TIEMPO DE CIERRE SUPERIOR A 70 mS"
"TUR.QUIE","TURBINA QUIETA, NO GIRA"
"PUETIEFAL","PUESTA A TIERRA   EN MAL ESTADO"
"CHASAGRI","CHASIS AGRIETADO"
"FISURA","FISURA"
"CAVITACI","CAVITACION"
"TAPAD/AHOGA","TAPADO/AHOGADO"
"NOEJE.APER","NO EJECUTA APERTURA"
"TRANSF.CAL","TRANSFERENCIA DE CALOR INSUFICIENTE"
"COMPFALL","COMPRESOR MUESTRA FALLA"
"NOAPG","BOMBILLA ENCENDIDA EN EL DIA"
"NO.ENCIE","ROTURA"
"DANOANICI","DANO EN ANILLO/CILINDRO/CONO"
"FILTRA","FILTRACION"
"CONVPAR_FALLA","CONVERTIDOR DE PAR EN FALLA"
"FALL.TEN","FALLA/OSCILACIÓN DE TENSION EN RED"
"TANDEM_FALLA","MANDOS FINALES EN FALLA"
"ESCAPE_FALLA","FALLA EN SISTEMA DE ESCAPE"
"VAL.SLAM.PAS","VALVULA SLAM CON PASE DE GAS"
"NOGARAINAISE","NO GARANTIZA INGRESO DE AIRE SECO AL TRANSFORMADOR"
"ALARMAFLUJO","DA ALARMA POR FLUJO BAJO-ALTO, ESTANDO NORMAL"
"NOCONMUTA","NO REALIZA LA CONMUTACIÓN"
"CONT.BLOQ","CONTROLADOR BLOQUEADO"
"NO.INDIC","NO INDICA LA MEDIDA"
"DPCC","DEVANADO PRIMARIO EN CORTO"
"OSCILACI","OSCILACIÓN"
"CABPUETIEFAL","CABLE DE PUESTA A TIERRA SUELTO O EN MAL ESTADO /AUSENTE"
"ENRUTAMIENTO","ENRUTAMIENTO"
"COMU_BLOQ","COMUNICACIONES BLOQUEADAS"
"FALT.ANG","FALTANTE ANGULERÍA"
"NOFRENO","NO APLICO LOS FRENOS"
