,WORKLOGID,label
0,2789392,9
1,2857541,7
2,2437852,0
3,2685049,14
4,2854713,5
5,2669932,0
6,2683902,14
7,2706911,7
8,2582554,0
9,3022539,6
10,3234039,6
11,3195303,2
12,2937357,0
13,2834341,7
14,3043470,6
15,2927159,10
16,2621303,2
17,2790501,0
18,2622355,7
19,2626348,3
20,2535683,9
21,2960656,0
22,2631042,3
23,2407127,0
24,2419982,3
25,3210068,0
26,2668949,0
27,2874413,5
28,2703592,5
29,2648368,2
30,2506444,0
31,2932753,9
32,2464433,0
33,2679867,11
34,2949641,3
35,2622182,7
36,2664767,0
37,3089189,14
38,3180947,2
39,3067998,0
40,2906107,8
41,3029772,3
42,3067997,7
43,2942811,0
44,2927646,0
45,2660274,0
46,2536714,10
47,2970994,3
48,3046750,0
49,2610513,2
50,2807368,0
51,2669585,0
52,2918971,0
53,2871768,3
54,2614057,8
55,2609586,5
56,3131168,6
57,3028893,2
58,2568523,0
59,2576664,13
60,3150705,7
61,2880250,14
62,2933794,10
63,2754166,3
64,2738339,0
65,3122545,12
66,2576617,12
67,2564533,3
68,2792977,7
69,2808215,6
70,2635239,0
71,2564597,3
72,2988088,7
73,3110519,0
74,3110924,0
75,2487875,0
76,2487864,0
77,3232659,1
78,2957581,11
79,3049217,2
80,2602302,0
81,2614481,14
82,2577525,0
83,2759443,7
84,2867196,9
85,2867189,9
86,2867187,7
87,2628317,0
88,2422906,0
89,2534132,12
90,2807522,14
91,2762320,5
92,3035379,0
93,2568811,0
94,2615226,10
95,2966453,11
96,2507803,3
97,2525861,0
98,2569299,12
99,2568887,0
100,2489154,13
101,2729302,0
102,2735387,7
103,2842730,10
104,3175793,3
105,2585462,4
106,2582695,7
107,3212125,3
108,3112744,0
109,2533697,0
110,2866958,0
111,2871014,3
112,3062535,0
113,2700129,0
114,2563114,0
115,2586582,1
116,2889002,2
117,3001448,2
118,2766834,0
119,2996462,0
120,2672740,0
121,2917398,9
122,3219519,0
123,3240786,2
124,2425758,8
125,2498954,3
126,2498991,11
127,2980485,0
128,2896488,0
129,2891313,6
130,2964361,14
131,3060987,5
132,2682739,3
133,2928766,3
134,3151333,3
135,2561129,0
136,2714362,0
137,3081992,3
138,3082631,2
139,2827432,0
140,3085627,0
141,3074178,3
142,3073159,4
143,2821486,3
144,2448215,6
145,3203306,0
146,2853249,0
147,2486522,3
148,2475126,5
149,2789042,0
150,2927026,0
151,2976036,0
152,2520933,9
153,2813048,7
154,2964210,0
155,2583528,3
156,2960900,9
157,2453810,0
158,2837986,11
159,3012299,0
160,3070387,14
161,2432949,10
162,2466385,4
163,2957591,6
164,2910476,10
165,2734427,3
166,2700222,6
167,2757866,0
168,3031559,0
169,2650392,1
170,3212540,3
171,2958138,2
172,2597616,10
173,2882240,3
174,2637245,0
175,2636965,9
176,2711108,0
177,2707862,0
178,2708036,0
179,2872573,13
180,2835423,12
181,2556870,1
182,3130141,0
183,2673955,3
184,2715129,3
185,2487906,6
186,2620383,2
187,3213304,3
188,2702261,0
189,2795824,10
190,2839653,9
191,2659503,9
192,2811745,1
193,2880033,6
194,2427191,1
195,2562700,0
196,2875782,13
197,2875865,0
