,WORKLOGID,num_topic
0,2789392,5
1,2857541,1
2,2437852,4
3,2685049,9
4,2854713,5
5,2669932,10
6,2683902,3
7,2706911,7
8,2582554,10
9,3022539,0
10,3234039,9
11,3195303,2
12,2937357,1
13,2834341,1
14,3043470,5
15,2927159,7
16,2621303,1
17,2790501,5
18,2622355,10
19,2626348,4
20,2535683,5
21,2960656,5
22,2631042,6
23,2407127,9
24,2419982,4
25,3210068,5
26,2668949,8
27,2874413,4
28,2703592,5
29,2648368,8
30,2506444,4
31,2932753,8
32,2464433,8
33,2679867,8
34,2949641,6
35,2622182,10
36,2664767,1
37,3089189,8
38,3180947,5
39,3067998,10
40,2906107,9
41,3029772,3
42,3067997,5
43,2942811,9
44,2927646,0
45,2660274,0
46,2536714,2
47,2970994,4
48,3046750,5
49,2610513,2
50,2807368,0
51,2669585,4
52,2918971,2
53,2871768,4
54,2614057,3
55,2609586,5
56,3131168,2
57,3028893,1
58,2568523,10
59,2576664,8
60,3150705,7
61,2880250,9
62,2933794,2
63,2754166,10
64,2738339,8
65,3122545,5
66,2576617,5
67,2564533,4
68,2792977,6
69,2808215,5
70,2635239,0
71,2564597,4
72,2988088,9
73,3110519,10
74,3110924,2
75,2487875,7
76,2487864,7
77,3232659,3
78,2957581,7
79,3049217,8
80,2602302,1
81,2614481,3
82,2577525,8
83,2759443,9
84,2867196,10
85,2867189,10
86,2867187,10
87,2628317,2
88,2422906,4
89,2534132,7
90,2807522,8
91,2762320,5
92,3035379,1
93,2568811,9
94,2615226,5
95,2966453,10
96,2507803,8
97,2525861,6
98,2569299,5
99,2568887,5
100,2489154,5
101,2729302,3
102,2735387,1
103,2842730,9
104,3175793,5
105,2585462,7
106,2582695,10
107,3212125,3
108,3112744,4
109,2533697,9
110,2866958,2
111,2871014,9
112,3062535,10
113,2700129,8
114,2563114,6
115,2586582,7
116,2889002,8
117,3001448,10
118,2766834,9
119,2996462,0
120,2672740,9
121,2917398,9
122,3219519,0
123,3240786,8
124,2425758,9
125,2498954,7
126,2498991,7
127,2980485,10
128,2896488,4
129,2891313,4
